cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
38.003,2024-03-02T14:55:06.298Z,41.2237469,-8.7137989,28.908,0.034,0.03,8827,53706.299,1.77,3,MSLV
138.66899999999998,2024-03-02T14:55:06.398Z,41.223747,-8.7137988,28.834,0.044,0.03,8827,53706.399,1.77,3,MSLV
239.33499999999998,2024-03-02T14:55:06.499Z,41.2237471,-8.7137988,28.763,0.049,0.04,8827,53706.499,1.77,3,MSLV
340.001,2024-03-02T14:55:06.599Z,41.2237472,-8.7137989,28.7,0.083,0.05,8827,53706.599,1.77,3,MSLV
440.667,2024-03-02T14:55:06.699Z,41.2237471,-8.713799,28.695,0.088,0.09,8827,53706.699,1.77,3,MSLV
541.333,2024-03-02T14:55:06.798Z,41.2237473,-8.7137992,28.677,0.11,0.09,8827,53706.799,1.77,3,MSLV
641.999,2024-03-02T14:55:06.898Z,41.2237473,-8.7137994,28.616,0.148,0.12,8827,53706.899,1.83,3,MSLV
742.665,2024-03-02T14:55:07.000Z,41.2237473,-8.7137993,28.553,0.04,0.15,8827,53707,1.77,3,MSLV
843.3309999999999,2024-03-02T14:55:07.099Z,41.2237473,-8.7137993,28.483,0.077,0.04,8827,53707.099,1.77,3,MSLV
943.9969999999998,2024-03-02T14:55:07.199Z,41.2237474,-8.7137993,28.412,0.046,0.08,8827,53707.199,1.77,3,MSLV
1044.663,2024-03-02T14:55:07.298Z,41.2237474,-8.7137993,28.351,0.054,0.06,8827,53707.299,1.77,3,MSLV
1144.2373,2024-03-02T14:55:07.398Z,41.2237475,-8.7137994,28.28,0.114,0.06,8827,53707.399,1.77,3,MSLV
1243.8116,2024-03-02T14:55:07.499Z,41.2237475,-8.7137996,28.232,0.13,0.12,8827,53707.499,1.77,3,MSLV
1343.3859,2024-03-02T14:55:07.599Z,41.2237475,-8.7137996,28.159,0.095,0.13,8827,53707.599,1.77,3,MSLV
1442.9602,2024-03-02T14:55:07.699Z,41.2237475,-8.7137997,28.092,0.105,0.1,8827,53707.699,1.77,3,MSLV
1542.5345,2024-03-02T14:55:07.798Z,41.2237475,-8.7137999,28.052,0.157,0.11,8827,53707.799,1.77,3,MSLV
1642.1088,2024-03-02T14:55:07.898Z,41.2237476,-8.7137998,27.984,0.053,0.16,8827,53707.899,1.77,3,MSLV
1741.6831,2024-03-02T14:55:08.000Z,41.2237476,-8.7137996,27.956,0.089,0.07,8827,53708,1.77,3,MSLV
1841.2574,2024-03-02T14:55:08.099Z,41.2237478,-8.7137992,27.927,0.328,0.09,8827,53708.099,1.77,3,MSLV
1940.8317,2024-03-02T14:55:08.199Z,41.223748,-8.7137989,27.909,0.293,0.33,8827,53708.199,1.77,3,MSLV
2040.406,2024-03-02T14:55:08.298Z,41.2237477,-8.7137992,27.934,0.064,0.29,8827,53708.299,1.77,3,MSLV
2140.3074,2024-03-02T14:55:08.398Z,41.2237476,-8.7137994,27.871,0.267,0.07,8827,53708.399,1.83,3,MSLV
2240.2088000000003,2024-03-02T14:55:08.499Z,41.2237473,-8.7137995,27.808,0.336,0.27,8827,53708.499,1.88,3,MSLV
2340.1102000000005,2024-03-02T14:55:08.599Z,41.2237475,-8.7137996,27.748,0.187,0.34,8827,53708.599,1.77,3,MSLV
